date,value
4/7/2014,0.5813
4/4/2014,0.5789
4/3/2014,0.5782
4/2/2014,0.5859
4/1/2014,0.5813
3/31/2014,0.5748
3/28/2014,0.5964
3/27/2014,0.5978
3/26/2014,0.5795
3/25/2014,0.5591
3/24/2014,0.5552
3/20/2014,0.5836
3/19/2014,0.5984
3/18/2014,0.5765
3/17/2014,0.5713
3/14/2014,0.56
3/13/2014,0.5563
3/12/2014,0.5442
3/11/2014,0.5509
3/10/2014,0.5547
3/7/2014,0.5611
3/6/2014,0.569
3/5/2014,0.5509
3/4/2014,0.5452
3/3/2014,0.5399
2/28/2014,0.5421
2/27/2014,0.5369
2/26/2014,0.5396
2/25/2014,0.5337
2/24/2014,0.5284
2/21/2014,0.5251
2/20/2014,0.5192
2/19/2014,0.5257
2/18/2014,0.5255
2/17/2014,0.5266
2/14/2014,0.5184
2/13/2014,0.5118
2/12/2014,0.5156
2/11/2014,0.5061
2/10/2014,0.5036
2/7/2014,0.5072
2/6/2014,0.5026
2/5/2014,0.5021
2/4/2014,0.4986
2/3/2014,0.5011
1/31/2014,0.4995
1/30/2014,0.4887
1/29/2014,0.5069
1/28/2014,0.5009
1/27/2014,0.4949
1/24/2014,0.5022
1/23/2014,0.5061
1/22/2014,0.5116
1/21/2014,0.505
1/20/2014,0.5073
1/17/2014,0.5066
1/16/2014,0.504
1/15/2014,0.5076
1/14/2014,0.5058
1/13/2014,0.5141
1/10/2014,0.5137
1/9/2014,0.5105
1/8/2014,0.518
1/7/2014,0.5185
1/6/2014,0.5167
1/3/2014,0.5196
1/2/2014,0.5212
12/31/2013,0.5259
12/30/2013,0.5295
12/27/2013,0.5309
12/24/2013,0.533
12/23/2013,0.5302
12/20/2013,0.5219
12/19/2013,0.5261
12/18/2013,0.5207
12/17/2013,0.5375
12/13/2013,0.5349
12/12/2013,0.5381
12/11/2013,0.541
12/10/2013,0.5419
12/9/2013,0.5401
12/6/2013,0.5323
12/5/2013,0.5312
12/4/2013,0.5378
12/3/2013,0.5391
12/2/2013,0.5451
11/29/2013,0.5412
11/28/2013,0.5388
11/27/2013,0.5409
11/26/2013,0.5448
11/25/2013,0.5451
11/22/2013,0.5434
11/21/2013,0.543
11/20/2013,0.5438
11/19/2013,0.5515
11/18/2013,0.5479
11/15/2013,0.5442
11/14/2013,0.5381
