"DIST","prod","year"
"Mumbwa",1218273.5,2009
"Mungwi",248134,2009
"Mwense",61621.5,2009
"Mwinilunga",195988.5,2009
"Nakonde",419825,2009
"Namwala",955986.25,2009
"Nchelenge",117722,2009
"Ndola",339135,2009
"Nyimba",449442,2009
"Petauke",1432393.5,2009
"Samfya",63546.5,2009
"Senanga",147648,2009
"Serenje",1057494,2009
"Sesheke",251309.5,2009
"Shang'ombo",175412.5,2009
"Siavonga",95846.5,2009
"Sinazongwe",307827,2009
"Solwezi",581657.75,2009
"Zambezi",121327.5,2009
"Chadiza",548035,2011
"Chama",132975,2011
"Chavuma",52725,2011
"Chibombo",1358847,2011
"Chienge",199725,2011
"Chililabombwe",118450,2011
"Chilubi",52475,2011
"Chingola",295605,2011
"Chinsali",542322.5,2011
"Chipata",1267962,2011
"Choma",1458885,2011
"Chongwe",730705,2011
"Gwembe",154655,2011
"Ikelenge",25200,2011
"Isoka",355720,2011
"Itezhi-tezhi",701590,2011
"Kabompo",310320,2011
"Kabwe",288350,2011
"Kafue",512450,2011
"Kalabo",34580,2011
"Kalomo",2277240,2011
"Kalulushi",329940,2011
"Kaoma",552950,2011
"Kapiri-Mposhi",1418850,2011
"Kaputa",83660,2011
"Kasama",414250,2011
"Kasempa",455950,2011
"Katete",979330,2011
"Kawambwa",446965,2011
"Kazungula",467655,2011
"Kitwe",135600,2011
"Livingstone",30840,2011
"Luangwa",55925,2011
"Luanshya",374550,2011
"Lufwanyama",680700,2011
"Lukulu",67205,2011
"Lundazi",763771,2011
"Lusaka",63145,2011
"Luwingu",356460,2011
"Mafinga",348770,2011
"Mambwe",158005,2011
"Mansa",443630,2011
"Masaiti",676975,2011
"Mazabuka",610550,2011
"Mbala",887179,2011
"Milenge",109775,2011
"Mkushi",933400,2011
"Mongu",69200,2011
"Monze",724020,2011
"Mpika",524655,2011
"Mpongwe",836375,2011
"Mporokoso",308610,2011
"Mpulungu",395280,2011
"Mufulira",383400,2011
"Mufumbwe",491300,2011
"Mumbwa",1051450,2011
"Mungwi",749230,2011
"Mwense",134350,2011
"Mwinilunga",332600,2011
"Nakonde",726530,2011
"Namwala",412950,2011
"Nchelenge",147530,2011
"Ndola",423175,2011
"Nyimba",554664,2011
"Petauke",1119109,2011
"Samfya",188810,2011
"Senanga",86726,2011
"Serenje",798300,2011
"Sesheke",169550,2011
"Shang'ombo",111940,2011
"Siavonga",317250,2011
